,Year,Month,Neighborhood,Assault,Burglary,Arrest,Disturbance,Robbery,zvhi
0,2010,1,Alki,0,0,0,0,0,516100.0
1,2011,1,Alki,0,4,0,10,0,468500.0
2,2012,1,Alki,1,3,0,12,0,461400.0
3,2013,1,Alki,0,2,0,11,0,495800.0
4,2014,1,Alki,1,2,0,13,0,556000.0
5,2015,1,Alki,1,4,0,6,0,583400.0
6,2010,2,Alki,0,0,0,0,0,515500.0
7,2011,2,Alki,0,0,0,6,0,467400.0
8,2012,2,Alki,0,4,1,14,0,460400.0
9,2013,2,Alki,0,5,0,6,0,500300.0
10,2014,2,Alki,0,2,0,9,0,558100.0
11,2015,2,Alki,0,3,0,12,1,589900.0
12,2010,3,Alki,0,0,0,0,0,510700.0
13,2011,3,Alki,0,0,1,3,0,466900.0
14,2012,3,Alki,0,4,0,14,0,461700.0
15,2013,3,Alki,0,0,0,0,0,505200.0
16,2014,3,Alki,2,3,0,16,0,559600.0
17,2015,3,Alki,1,4,0,18,0,601600.0
18,2010,4,Alki,0,0,0,0,0,504500.0
19,2011,4,Alki,5,3,0,23,0,467500.0
20,2012,4,Alki,2,3,0,19,0,464900.0
21,2013,4,Alki,0,0,0,0,0,510100.0
22,2014,4,Alki,2,2,0,20,2,561300.0
23,2015,4,Alki,1,1,1,21,0,614100.0
24,2010,5,Alki,0,0,0,0,0,502000.0
25,2011,5,Alki,1,1,1,23,0,467800.0
26,2012,5,Alki,3,1,0,22,0,468300.0
27,2013,5,Alki,0,0,0,0,0,515500.0
28,2014,5,Alki,1,1,0,35,1,562500.0
29,2015,5,Alki,2,4,1,38,3,621200.0
30,2010,6,Alki,0,0,0,0,0,499900.0
31,2011,6,Alki,1,2,2,29,3,466400.0
32,2012,6,Alki,3,3,0,37,0,471700.0
33,2013,6,Alki,0,0,0,0,0,522200.0
34,2014,6,Alki,3,1,1,42,3,564100.0
35,2015,6,Alki,3,2,0,56,3,624000.0
36,2010,7,Alki,1,7,1,19,0,496400.0
37,2011,7,Alki,2,1,1,50,0,462500.0
38,2012,7,Alki,4,2,2,70,0,474800.0
39,2013,7,Alki,0,0,0,0,0,530500.0
40,2014,7,Alki,4,3,1,68,0,564700.0
41,2015,7,Alki,2,5,0,62,0,628700.0
42,2010,8,Alki,3,5,1,30,0,492300.0
43,2011,8,Alki,3,6,1,27,0,460400.0
44,2012,8,Alki,1,7,2,61,0,478300.0
45,2013,8,Alki,0,0,0,0,0,536600.0
46,2014,8,Alki,0,3,0,30,0,565900.0
47,2015,8,Alki,1,3,0,41,0,632600.0
48,2010,9,Alki,2,3,2,14,0,487600.0
49,2011,9,Alki,0,4,4,25,0,461200.0
50,2012,9,Alki,0,2,0,23,0,482100.0
51,2013,9,Alki,0,0,0,0,0,540900.0
52,2014,9,Alki,1,2,0,14,0,566300.0
53,2015,9,Alki,1,1,0,18,0,635600.0
54,2010,10,Alki,2,3,1,10,0,481300.0
55,2011,10,Alki,0,4,2,11,1,462300.0
56,2012,10,Alki,2,5,0,14,0,486400.0
57,2013,10,Alki,1,5,0,5,0,545300.0
58,2014,10,Alki,0,4,0,16,0,568500.0
59,2010,11,Alki,2,2,2,9,0,475400.0
60,2011,11,Alki,0,6,0,8,0,462100.0
61,2012,11,Alki,0,5,0,8,0,490000.0
62,2013,11,Alki,1,1,0,9,0,550200.0
63,2014,11,Alki,1,3,0,4,0,573100.0
64,2010,12,Alki,0,3,1,10,0,471000.0
65,2011,12,Alki,0,4,0,5,0,462500.0
66,2012,12,Alki,0,5,0,10,0,492700.0
67,2013,12,Alki,2,13,0,5,0,553500.0
68,2014,12,Alki,0,1,0,8,0,578100.0
69,2010,1,Arbor Heights,0,0,0,0,0,335100.0
70,2011,1,Arbor Heights,0,6,0,5,0,320700.0
71,2012,1,Arbor Heights,1,1,0,4,1,302200.0
72,2013,1,Arbor Heights,0,7,2,2,1,333000.0
73,2014,1,Arbor Heights,2,1,0,2,0,379800.0
74,2015,1,Arbor Heights,1,3,0,3,0,394100.0
75,2010,2,Arbor Heights,0,0,0,0,0,335600.0
76,2011,2,Arbor Heights,0,1,0,0,0,318200.0
77,2012,2,Arbor Heights,0,2,2,3,0,303200.0
78,2013,2,Arbor Heights,0,6,2,2,0,335500.0
79,2014,2,Arbor Heights,1,2,0,2,0,384400.0
80,2015,2,Arbor Heights,0,3,0,5,0,394100.0
81,2010,3,Arbor Heights,0,0,0,0,0,336300.0
82,2011,3,Arbor Heights,0,1,0,7,0,314300.0
83,2012,3,Arbor Heights,0,4,1,5,0,303500.0
84,2013,3,Arbor Heights,0,0,0,0,0,339800.0
85,2014,3,Arbor Heights,0,1,0,3,0,388400.0
86,2015,3,Arbor Heights,0,9,0,5,0,395300.0
87,2010,4,Arbor Heights,0,0,0,0,0,337700.0
88,2011,4,Arbor Heights,0,6,0,5,1,310600.0
89,2012,4,Arbor Heights,0,5,0,4,0,303500.0
90,2013,4,Arbor Heights,0,0,0,0,0,345100.0
91,2014,4,Arbor Heights,0,1,0,5,0,389900.0
92,2015,4,Arbor Heights,0,2,0,2,0,399000.0
93,2010,5,Arbor Heights,0,0,0,0,0,338200.0
94,2011,5,Arbor Heights,0,5,2,3,0,307800.0
95,2012,5,Arbor Heights,1,2,0,8,0,305200.0
96,2013,5,Arbor Heights,0,0,0,0,0,351200.0
97,2014,5,Arbor Heights,0,2,0,6,0,388500.0
98,2015,5,Arbor Heights,0,2,0,7,0,404900.0
99,2010,6,Arbor Heights,0,0,0,0,0,335700.0
100,2011,6,Arbor Heights,1,3,0,4,0,306000.0
101,2012,6,Arbor Heights,2,8,0,12,0,308100.0
102,2013,6,Arbor Heights,0,0,0,0,0,358100.0
103,2014,6,Arbor Heights,0,1,0,17,0,386400.0
104,2015,6,Arbor Heights,0,3,0,5,0,411000.0
105,2010,7,Arbor Heights,0,1,0,3,0,331000.0
106,2011,7,Arbor Heights,2,5,0,14,0,305700.0
107,2012,7,Arbor Heights,1,7,0,20,0,311600.0
108,2013,7,Arbor Heights,0,0,0,0,0,363000.0
109,2014,7,Arbor Heights,0,3,0,7,1,384800.0
110,2015,7,Arbor Heights,1,4,0,13,0,415100.0
111,2010,8,Arbor Heights,0,2,2,7,0,326700.0
112,2011,8,Arbor Heights,2,6,1,11,1,305900.0
113,2012,8,Arbor Heights,1,9,1,22,0,315300.0
114,2013,8,Arbor Heights,0,0,0,0,0,367200.0
115,2014,8,Arbor Heights,0,2,0,4,0,383500.0
116,2015,8,Arbor Heights,0,3,0,13,0,418200.0
117,2010,9,Arbor Heights,0,3,0,6,0,324300.0
118,2011,9,Arbor Heights,1,4,0,11,0,305800.0
119,2012,9,Arbor Heights,0,5,0,8,0,319000.0
120,2013,9,Arbor Heights,0,0,0,0,0,371300.0
121,2014,9,Arbor Heights,0,2,0,6,0,383000.0
122,2015,9,Arbor Heights,0,1,0,7,0,420900.0
123,2010,10,Arbor Heights,0,2,1,2,0,323600.0
124,2011,10,Arbor Heights,0,8,0,2,0,304500.0
125,2012,10,Arbor Heights,0,8,1,1,0,322800.0
126,2013,10,Arbor Heights,0,11,0,2,0,374100.0
127,2014,10,Arbor Heights,0,2,0,2,0,385100.0
128,2010,11,Arbor Heights,0,2,1,11,1,323100.0
129,2011,11,Arbor Heights,0,5,0,0,0,302800.0
130,2012,11,Arbor Heights,1,5,0,12,0,327100.0
131,2013,11,Arbor Heights,0,2,1,2,0,374800.0
132,2014,11,Arbor Heights,0,1,0,4,0,389700.0
133,2010,12,Arbor Heights,0,6,0,7,0,322000.0
134,2011,12,Arbor Heights,1,3,0,3,0,301800.0
135,2012,12,Arbor Heights,1,12,1,3,0,331000.0
136,2013,12,Arbor Heights,0,6,0,3,0,376200.0
137,2014,12,Arbor Heights,0,8,0,4,0,393200.0
138,2010,1,Ballard,0,0,0,0,0,342300.0
139,2011,1,Ballard,7,4,5,32,0,321800.0
140,2012,1,Ballard,7,2,1,43,0,318600.0
141,2013,1,Ballard,8,10,3,41,1,346600.0
142,2014,1,Ballard,9,7,1,24,2,378200.0
143,2015,1,Ballard,4,13,0,35,1,406800.0
144,2010,2,Ballard,0,0,0,0,0,343900.0
145,2011,2,Ballard,4,2,2,20,2,318600.0
146,2012,2,Ballard,8,5,2,47,0,319200.0
147,2013,2,Ballard,6,9,2,29,1,346900.0
148,2014,2,Ballard,4,14,0,41,0,381200.0
149,2015,2,Ballard,7,10,0,62,1,414900.0
150,2010,3,Ballard,0,0,0,0,0,344300.0
151,2011,3,Ballard,0,5,5,28,0,314100.0
152,2012,3,Ballard,6,5,4,56,0,320800.0
153,2013,3,Ballard,0,0,0,0,0,347600.0
154,2014,3,Ballard,3,5,1,27,0,387200.0
155,2015,3,Ballard,6,5,0,48,2,426900.0
156,2010,4,Ballard,0,0,0,0,0,343500.0
157,2011,4,Ballard,3,4,5,46,0,311100.0
158,2012,4,Ballard,7,7,2,47,0,322800.0
159,2013,4,Ballard,0,0,0,0,0,350600.0
160,2014,4,Ballard,2,11,1,33,0,391400.0
161,2015,4,Ballard,8,15,1,76,0,438000.0
162,2010,5,Ballard,0,0,0,0,0,341600.0
163,2011,5,Ballard,2,7,3,61,1,310900.0
164,2012,5,Ballard,5,9,4,50,1,324400.0
165,2013,5,Ballard,0,0,0,0,0,356000.0
166,2014,5,Ballard,10,20,0,42,1,390500.0
167,2015,5,Ballard,9,14,0,83,0,443800.0
168,2010,6,Ballard,0,0,0,0,0,339100.0
169,2011,6,Ballard,11,9,3,38,0,312600.0
170,2012,6,Ballard,9,5,4,61,1,325700.0
171,2013,6,Ballard,0,0,0,0,0,360500.0
172,2014,6,Ballard,8,11,0,55,1,389900.0
173,2015,6,Ballard,7,11,1,84,0,444400.0
174,2010,7,Ballard,2,1,4,28,0,336200.0
175,2011,7,Ballard,2,14,3,60,0,314500.0
176,2012,7,Ballard,5,10,3,74,0,327800.0
177,2013,7,Ballard,0,0,0,0,0,362800.0
178,2014,7,Ballard,7,10,0,48,4,392500.0
179,2015,7,Ballard,8,18,2,93,0,447000.0
180,2010,8,Ballard,10,7,8,90,0,333200.0
181,2011,8,Ballard,8,9,2,69,1,315700.0
182,2012,8,Ballard,12,7,4,94,1,331400.0
183,2013,8,Ballard,0,0,0,0,0,364800.0
184,2014,8,Ballard,7,26,2,46,1,393900.0
185,2015,8,Ballard,5,10,0,77,1,452000.0
186,2010,9,Ballard,7,8,6,82,0,330400.0
187,2011,9,Ballard,1,4,2,61,1,316400.0
188,2012,9,Ballard,4,5,3,62,0,334600.0
189,2013,9,Ballard,0,0,0,0,0,367100.0
190,2014,9,Ballard,6,10,1,47,0,395200.0
191,2015,9,Ballard,10,16,1,61,0,457200.0
192,2010,10,Ballard,6,5,3,74,1,328500.0
193,2011,10,Ballard,5,7,4,54,1,316600.0
194,2012,10,Ballard,8,6,2,53,1,337800.0
195,2013,10,Ballard,5,12,0,43,0,369600.0
196,2014,10,Ballard,7,24,0,63,2,399600.0
197,2010,11,Ballard,4,10,5,31,0,326400.0
198,2011,11,Ballard,5,6,2,19,0,317400.0
199,2012,11,Ballard,1,7,2,39,0,342100.0
200,2013,11,Ballard,5,8,2,44,0,372500.0
201,2014,11,Ballard,5,14,2,37,1,403100.0
202,2010,12,Ballard,2,10,2,46,0,324200.0
203,2011,12,Ballard,4,5,2,26,0,318400.0
204,2012,12,Ballard,0,4,1,42,1,345300.0
205,2013,12,Ballard,12,9,1,40,0,375600.0
206,2014,12,Ballard,5,4,0,34,0,403400.0
207,2010,1,Beacon Hill,0,0,0,0,0,318900.0
208,2011,1,Beacon Hill,0,15,3,21,4,301300.0
209,2012,1,Beacon Hill,4,17,1,17,1,266700.0
210,2013,1,Beacon Hill,2,6,2,17,0,295100.0
211,2014,1,Beacon Hill,4,22,2,22,3,352400.0
212,2015,1,Beacon Hill,2,9,0,10,0,365200.0
213,2010,2,Beacon Hill,0,0,0,0,0,320000.0
214,2011,2,Beacon Hill,2,5,1,15,0,297300.0
215,2012,2,Beacon Hill,3,17,1,14,2,266500.0
216,2013,2,Beacon Hill,2,3,4,21,4,298200.0
217,2014,2,Beacon Hill,1,15,0,12,0,355000.0
218,2015,2,Beacon Hill,2,8,0,25,4,365400.0
219,2010,3,Beacon Hill,0,0,0,0,0,320700.0
220,2011,3,Beacon Hill,1,4,2,9,0,292000.0
221,2012,3,Beacon Hill,5,8,2,24,1,269100.0
222,2013,3,Beacon Hill,0,0,0,0,0,301700.0
223,2014,3,Beacon Hill,2,27,0,17,2,356100.0
224,2015,3,Beacon Hill,2,7,0,15,0,370600.0
225,2010,4,Beacon Hill,0,0,0,0,0,321600.0
226,2011,4,Beacon Hill,3,13,10,19,0,287200.0
227,2012,4,Beacon Hill,8,10,7,23,3,273700.0
228,2013,4,Beacon Hill,0,0,0,0,0,305400.0
229,2014,4,Beacon Hill,3,17,0,15,4,356800.0
230,2015,4,Beacon Hill,2,8,0,21,1,378900.0
231,2010,5,Beacon Hill,0,1,0,0,0,321800.0
232,2011,5,Beacon Hill,2,10,4,30,0,283700.0
233,2012,5,Beacon Hill,3,11,1,23,2,278300.0
